src,dst,src_title,dst_title,src_score,dst_score,similarity
10000355,15596185,Oracle query with multiple tables,Oracle Query from multiple tables,4,0,1.0
10000355,19393346,Oracle query with multiple tables,Oracle sql query with multiple tables,4,0,1.0
10000355,30828609,Oracle query with multiple tables,query from multiple tables?,4,-2,1.0
10000355,63903593,Oracle query with multiple tables,Database query with multiple tables,4,0,1.0
10000355,72412522,Oracle query with multiple tables,Multiple Tables Query,4,0,1.0
10015650,12863928,not a GROUP BY expression error in Oracle,"SQL Group by error - ""not a GROUP BY expression""",1,4,1.0
10015650,13962772,not a GROUP BY expression error in Oracle,Not a GROUP BY expression error,1,5,1.0
10015650,17746590,not a GROUP BY expression error in Oracle,Oracle: NOT A GROUP BY EXPRESSION ERROR,1,3,1.0
10015650,19165041,not a GROUP BY expression error in Oracle,"Oracle ""not a GROUP BY expression error""",1,0,1.0
10015650,20599780,not a GROUP BY expression error in Oracle,Not a group by expression SQL error,1,0,1.0
10015650,23128018,not a GROUP BY expression error in Oracle,NOT A GROUP BY EXPRESSION ERROR (Oracle),1,1,1.0
10015650,29900677,not a GROUP BY expression error in Oracle,Oracle: not group by expression error,1,-1,1.0
10015747,34744244,ORA-14450: attempt to access a transactional temp table already in use,ORA-14450: attempt to access the transactional temp table already in use,2,-2,1.0
10022805,11538869,Check Constraint in Oracle,An Oracle Check Constraint,0,3,1.0
10022805,16400965,Check Constraint in Oracle,CHECK CONSTRAINT in Oracle SQL,0,3,1.0
10022805,23672105,Check Constraint in Oracle,Oracle Constraint Check,0,0,1.0
10022805,65326342,Check Constraint in Oracle,Oracle SQL - check constraint,0,2,1.0
10022805,77632327,Check Constraint in Oracle,sql constraint in a check in,0,0,1.0
10044824,46236536,slow sql query execution,Slow Query Execution,0,-1,1.0
10084400,40415371,How to count the number of columns in a table using SQL?,count number of columns in table in oracle,25,-1,1.0
10084400,76855362,How to count the number of columns in a table using SQL?,count number of columns in a table in Oracle,25,0,1.0
10103629,48464166,Oracle + dbunit gets AmbiguousTableNameException,Dbunit gets AmbiguousTableNameException Oracle,10,0,1.0
10107664,65433074,ORA-24247: network access denied by access control list (ACL),ORA-24247: network access denied by access control list (ACL)?,1,1,1.0
10107664,68096588,ORA-24247: network access denied by access control list (ACL),ORA-24247: network access denied by access control list(ACL)?,1,1,1.0
10118991,17326469,oracle - to_Date format,Oracle Date format,2,0,1.0
10118991,18120619,oracle - to_Date format,Oracle date format,2,0,1.0
10118991,28050545,oracle - to_Date format,Oracle SQL Date Format,2,1,1.0
10118991,34935426,oracle - to_Date format,Oracle - Date Format,2,0,1.0
10118991,46224479,oracle - to_Date format,DATE FORMAT in Oracle SQL,2,0,1.0
10118991,58197703,oracle - to_Date format,Oracle: Date format,2,0,1.0
10118991,59193520,oracle - to_Date format,format date in oracle SQL,2,0,1.0
10132094,32349462,Edit Total line in Oracle report,Edit Total line in Oracle report 1,1,0,1.0
10154577,10732673,Oracle select statement,select statement in oracle,2,1,1.0
10154577,17859994,Oracle select statement,Use as in select statement on select statement,2,1,1.0
10154577,27087745,Oracle select statement,select statement oracle sql,2,1,1.0
10154577,27210109,Oracle select statement,select statement oracle,2,0,1.0
10154577,36977627,Oracle select statement,Select statement for Oracle SQL,2,0,1.0
10163643,31108320,Format SQL Output,Oracle sql output format,0,-1,1.0
10178292,10550952,Comparing Dates in Oracle SQL,Oracle - Comparing dates,182,0,1.0
10178292,19216076,Comparing Dates in Oracle SQL,Oracle SQL comparing dates,182,2,1.0
10178292,69102725,Comparing Dates in Oracle SQL,Comparing dates in oracle,182,0,1.0
10183061,60494115,PL/SQL Cursor for loop,Loop for a cursor - PL/SQL,4,0,1.0
10197520,30599208,oracle query nested select using case,NESTED SELECT QUERY WITH CASE,1,0,1.0
10202763,47516011,Oracle SQL using Like for a wildcard,Oracle SQL using Like and wildcard,7,5,1.0
10206940,15063739,a sql query from oracle,WITH AS in oracle query,0,-3,1.0
10206940,16050419,a sql query from oracle,Query sql in oracle,0,-5,1.0
10206940,19486160,a sql query from oracle,How to query in Oracle,0,-4,1.0
10206940,20386149,a sql query from oracle,SQL query in oracle,0,0,1.0
10206940,21671526,a sql query from oracle,Oracle Sql query,0,0,1.0
10206940,22328949,a sql query from oracle,Oracle SQL Query IN,0,0,1.0
10206940,31473477,a sql query from oracle,Oracle sql query,0,4,1.0
10206940,33952072,a sql query from oracle,Oracle Database SQL Query,0,1,1.0
10206940,34524325,a sql query from oracle,Oracle Query with AND and OR,0,0,1.0
10206940,37002379,a sql query from oracle,Oracle database query,0,1,1.0
10206940,39995063,a sql query from oracle,Oracle SQL Query 2,0,1,1.0
10206940,40610853,a sql query from oracle,query on oracle,0,-1,1.0
10206940,41584293,a sql query from oracle,How to 2 Oracle Database in 1 Query,0,-1,1.0
10206940,41976574,a sql query from oracle,oracle - sql query,0,0,1.0
10206940,43435773,a sql query from oracle,Database Sql Query,0,-1,1.0
10206940,46590775,a sql query from oracle,Oracle / SQL Query,0,0,1.0
10206940,47182721,a sql query from oracle,SQL Query (Oracle SQL),0,1,1.0
10206940,53242670,a sql query from oracle,Query with in an Query,0,0,1.0
10206940,56431193,a sql query from oracle,query for oracle,0,-2,1.0
10206940,68998194,a sql query from oracle,SQL_Oracle query,0,0,1.0
10206940,71038137,a sql query from oracle,QUERY SQL ORACLE,0,-3,1.0
10206940,72834706,a sql query from oracle,how query using oracle,0,0,1.0
10206940,76276581,a sql query from oracle,How to use 'AND' in an Oracle SQL query,0,0,1.0
10210320,14924787,Not a single-group group function,not a single-group group function ORACLE,10,0,1.0
10210320,34575241,Not a single-group group function,Not a single-group group function Oracle SQL,10,0,1.0
10210320,44926779,Not a single-group group function,Oracle - Not a single-group group function,10,0,1.0
10210320,55407268,Not a single-group group function,"""not a single-group group function""",10,0,1.0
10231131,45707097,PHP 5 oci_execute(): ORA-01008: not all variables bound,PHP oci_execute(): ORA-01008: not all variables bound,2,1,1.0
10231131,59075174,PHP 5 oci_execute(): ORA-01008: not all variables bound,PHP: oci_execute(): ORA-01008: not all variables bound,2,0,1.0
10251821,19748578,Basic SQL query,Oracle SQL Basic Query,1,0,1.0
10251821,26827942,Basic SQL query,basic sql query,1,0,1.0
10279324,16889822,Wrong number or types of arguments in call to,wrong number or types of arguments in call to,1,3,1.0
10279324,45029019,Wrong number or types of arguments in call to,wrong number or types of arguments in call,1,1,1.0
10279324,57719737,Wrong number or types of arguments in call to,Oracle: wrong number or types of arguments in call,1,1,1.0
10279324,60775412,Wrong number or types of arguments in call to,Wrong number or types of arguments in call to '||',1,0,1.0
10279324,67190871,Wrong number or types of arguments in call to,wrong number or types of arguments in call,1,0,1.0
10287766,32474709,Oracle if statement in where clause,If statement in clause where,1,0,1.0
10287766,45581675,Oracle if statement in where clause,IF statement in WHERE clause - SQL - Oracle,1,1,1.0
1029032,8912714,"Oracle SQL Query to Summarize Statistics, using GROUP BY",Query to Summarize Statistics with Group By,2,0,1.0
10353969,30173298,How can I select from list of values in Oracle,Oracle: Can I select from a list of values?,68,0,1.0
10373785,12298451,oracle table creation,Oracle database table creation,-5,0,1.0
10373785,46931378,oracle table creation,SQL table creation,-5,0,1.0
10422024,55783323,Inserting values into tables Oracle SQL,Inserting values into the tables,12,0,1.0
10434801,25832551,Oracle query self-join?,SQL Self-Join Query,2,-1,1.0
10444440,32488828,TO_DATE Conversion Issue in Oracle?,Date conversion issue in sql,0,0,1.0
10444440,47767699,TO_DATE Conversion Issue in Oracle?,TO_DATE ISSUE IN CONVERSION,0,-3,1.0
10469941,64788817,SQL Sum of Sums,Oracle SQL sum of sums,3,-1,1.0
10479809,13107900,ORA-01843 Not a Valid Month with Oracle SQL,ORA-01843: not a valid month,0,2,1.0
10479809,25147120,ORA-01843 Not a Valid Month with Oracle SQL,ORA-01843 - not a valid month oracle SQL,0,1,1.0
10479809,29875429,ORA-01843 Not a Valid Month with Oracle SQL,ORA-01843 Not a valid month,0,-6,1.0
10479809,35869479,ORA-01843 Not a Valid Month with Oracle SQL,ORACLE - ORA-01843: not a valid month,0,0,1.0
10479809,43087887,ORA-01843 Not a Valid Month with Oracle SQL,ORA-01843: not a valid month,0,-2,1.0
10479809,65594746,ORA-01843 Not a Valid Month with Oracle SQL,SQL ORA-01843 not a Valid month,0,-1,1.0
10484231,37526608,ORA-24408: could not generate unique server group name,ora-24408 could not generate unique server group name in,15,-2,1.0
