cluster_id,doc_id,title,score,cluster_top_terms,tags_text
0,16568,How to select the nth row in a SQL database table?,497,"table, query, sql, select, data, like, get, one, column, id, rows, value",mysql|sql|database|oracle-database|postgresql
0,3014940,"Is there a combination of \"LIKE\" and \"IN\" in SQL?",463,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|sql-server|oracle-database|t-sql|plsql
0,1580450,How do I list all the columns in a table?,337,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|mysql|sql-server|oracle-database
0,3451534,How do I do top 1 in Oracle?,295,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database|oracle11g|sql-limit
0,11043712,Non-Repeatable Read vs Phantom Read?,292,"table, query, sql, select, data, like, get, one, column, id, rows, value",database|oracle-database|transactions|isolation-level|transaction-isolation
0,73751,What is the dual table in Oracle?,267,"table, query, sql, select, data, like, get, one, column, id, rows, value",oracle-database|dual-table
0,11183572,What's the difference between RANK() and DENSE_RANK() functions in oracle?,236,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database|window-functions
0,2498035,Oracle SELECT TOP 10 records,214,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database|top-n
0,19654494,"Can we have multiple \"WITH AS\" in single sql - Oracle SQL",170,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database
0,2250196,SELECT INTO using Oracle,162,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database|ora-00905
0,14767209,subquery in FROM must have an alias,155,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database|postgresql|subquery
0,10650851,"Is there any difference between \"!=\" and \"<>\" in Oracle Sql?",149,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database
0,15091849,How to use Oracle ORDER BY and ROWNUM correctly?,147,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database|sql-order-by|rownum
0,8739203,Oracle query to fetch column names,143,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database
0,400255,How to put more than 1000 values into an Oracle IN clause,134,"table, query, sql, select, data, like, get, one, column, id, rows, value",oracle-database|in-clause
0,2671518,How do you create a temporary table in an Oracle database?,129,"table, query, sql, select, data, like, get, one, column, id, rows, value",sql|oracle-database|temp-tables
