src,dst,src_title,dst_title,src_score,dst_score,similarity
52080769,61044368,oracle pl/sql utl_file ORA-29280: invalid directory path,oracle pl/sql utl_file ORA-29280: invalid directory path and ORA-29280: invalid directory object,0,0,0.875
67307641,67322152,join with lookup and groupby,join with lookup and group by,0,0,0.8666666666666667
1476632,19848777,C# How to parse a string of date in an arbitrary specified Oracle date format?,How to format a date from Oracle to a valid datetime in c#,1,1,0.863013698630137
25541869,26797803,is it possible to trim last three characters in string with selected row in selected column,i want to trim last two characters in string with selected row in selected column,0,-1,0.8260869565217391
9660235,9662930,sql statement how to keep null value,sql returning no rows selected,-2,0,0.8164893617021277
25472207,70231735,Error is missing right parenthesis,"I'm getting this error: ""Missing right parenthesis""",0,-1,0.8
25472207,70783143,Error is missing right parenthesis,How to solve ERROR MISSING RIGHT PARENTHESIS ? (ORACLE),0,-3,0.8
1321253,2369316,JDBC Thin Oracle 11g,JDBC Thin in Oracle 11g with java,3,2,0.7741935483870968
25103756,74078822,NOT a group by expression SQL,sql oracle query group by issue,-1,0,0.75
70089553,70094984,UPDATED - Terraform OCI - create multiple VCN in different regions,Terraform OCI - create multiple VCN in multiple regions,1,0,0.75
