cluster_id,cluster_size,doc_id,title,score,representative_id,representative_title,avg_similarity,tags_text
25103756,3,25103756,NOT a group by expression SQL,-1,48136395,not a group by oracle,0.85,sql|oracle-database|group-by|expression
25103756,3,74078822,sql oracle query group by issue,0,48136395,not a group by oracle,0.8321428571428571,sql|oracle-database|group-by|ora-00979
25103756,3,48136395,not a group by oracle,0,48136395,not a group by oracle,0.8142857142857143,sql|oracle-database|group-by
25472207,3,25472207,Error is missing right parenthesis,0,25472207,Error is missing right parenthesis,0.7333333333333334,sql|oracle-database
25472207,3,44783896,ORA-00907: missing right parenthesis error,-1,25472207,Error is missing right parenthesis,0.6666666666666666,sql|oracle-database|join
25472207,3,70783143,How to solve ERROR MISSING RIGHT PARENTHESIS ? (ORACLE),-3,25472207,Error is missing right parenthesis,0.8,sql|oracle-database
12538926,2,12544953,how to write a database query to search for the customers using address,2,12544953,how to write a database query to search for the customers using address,0.6708860759493671,sql|oracle-database
12538926,2,12538926,Database query to search using address,0,12544953,how to write a database query to search for the customers using address,0.6708860759493671,sql|oracle-database
12603250,2,12604002,How to compare two different rows of two different tables and update a third table?,0,12604002,How to compare two different rows of two different tables and update a third table?,0.8636363636363636,sql|oracle-database
12603250,2,12603250,How to compare two different rows of two different tables?,-2,12604002,How to compare two different rows of two different tables and update a third table?,0.8636363636363636,sql|oracle-database
12744013,2,12744013,Install oracle module for node js,1,12744013,Install oracle module for node js,0.6861313868613139,oracle-database|node.js|oracle10g
12744013,2,12745236,Install db-oracle for node js,0,12744013,Install oracle module for node js,0.6861313868613139,oracle-database|node.js
1476632,2,1476632,C# How to parse a string of date in an arbitrary specified Oracle date format?,1,19848777,How to format a date from Oracle to a valid datetime in c#,0.863013698630137,c#|oracle-database|datetime|date|parsing
1476632,2,19848777,How to format a date from Oracle to a valid datetime in c#,1,19848777,How to format a date from Oracle to a valid datetime in c#,0.863013698630137,c#|oracle-database|formatting
16830152,2,37533512,"compiling procedure in oracle, md5 encryption",0,16830152,create procedure in oracle,0.684931506849315,sql|oracle-database|procedure
16830152,2,16830152,create procedure in oracle,0,16830152,create procedure in oracle,0.684931506849315,sql|oracle-database|oracle11g|procedure
18084908,2,18103665,"Random \"The provider is not compatible with the version of Oracle client\" error",0,18084908,The provider is not compatible with the version of Oracle client error popping up randomly,0.7297297297297297,asp.net|vb.net|oracle-database
18084908,2,18084908,The provider is not compatible with the version of Oracle client error popping up randomly,1,18084908,The provider is not compatible with the version of Oracle client error popping up randomly,0.7297297297297297,asp.net|oracle-database
1940579,2,1940695,SQL Inner join on select statements,-3,1940579,SQL Inner join on select statements,0.8083333333333333,sql|oracle-database|ora-00933
1940579,2,1940579,SQL Inner join on select statements,23,1940579,SQL Inner join on select statements,0.8083333333333333,sql|oracle-database|ora-00933
19713546,2,19771746,Oracle DBlink works for ODBC but not for OLEDB,1,19771746,Oracle DBlink works for ODBC but not for OLEDB,0.6625,oracle-database|odbc|oledb|dblink|heterogeneous-services
19713546,2,19713546,Connect to external OLEDB data source from Oracle,1,19771746,Oracle DBlink works for ODBC but not for OLEDB,0.6625,oracle-database|oracle10g|oledb|dblink|heterogeneous-services
20348752,2,20348752,"Who came up with the term \"DIANA node\" and how did they figure 6,000,000 LOC is approximately 67108864 (2**26) DIANA nodes?",5,7764656,"Who is diana, and why won't she let my database objects compile?",0.7046004842615012,oracle-database|plsql
20348752,2,7764656,"Who is diana, and why won't she let my database objects compile?",24,7764656,"Who is diana, and why won't she let my database objects compile?",0.7046004842615012,oracle-database|stored-procedures|view
25541869,2,25541869,is it possible to trim last three characters in string with selected row in selected column,0,25541869,is it possible to trim last three characters in string with selected row in selected column,0.8260869565217391,sql|oracle-database|oracle11g
25541869,2,26797803,i want to trim last two characters in string with selected row in selected column,-1,25541869,is it possible to trim last three characters in string with selected row in selected column,0.8260869565217391,sql|database|oracle-database|oracle11g
28753859,2,28753859,Correlation and analytic function,0,28753859,Correlation and analytic function,0.85,sql|oracle-database|oracle11g
